INDICATOR,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2002,2002,5141,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2003,2003,5628,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2004,2004,5862,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2005,2005,6096,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2006,2006,8096,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2007,2007,10095,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2008,2008,11024,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2009,2009,11261,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2010,2010,11739,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2011,2011,14547,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2012,2012,14067,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2013,2013,12667.048,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2014,2014,13454.879,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2015,2015,13887.454,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2016,2016,15125.145,,
20402,Researchers (FTE) - Engineering and technology,PRT,Portugal,2017,2017,16911.616,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2000,2000,3282,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2001,2001,2916,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2002,2002,3028,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2003,2003,2899,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2004,2004,2994,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2005,2005,3298,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2006,2006,3516,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2007,2007,3637,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2008,2008,3905,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2009,2009,4484,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2010,2010,4927,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2011,2011,5342,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2012,2012,5141,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2013,2013,5279.7,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2014,2014,5324.5,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2015,2015,5319.8,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2016,2016,4708.012,,
20402,Researchers (FTE) - Engineering and technology,SVK,Slovakia,2017,2017,5401.14,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2005,2005,14488,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2006,2006,16645,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2007,2007,20726,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2008,2008,23461,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2009,2009,25498,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2010,2010,29566,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2011,2011,34014,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2012,2012,38649,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2013,2013,43573,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2014,2014,45074,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2015,2015,48561,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2016,2016,58936.612,,
20402,Researchers (FTE) - Engineering and technology,TUR,Turkey,2017,2017,67882,,
20402,Researchers (FTE) - Engineering and technology,ALB,Albania,2008,2008,39.8,,
20402,Researchers (FTE) - Engineering and technology,DZA,Algeria,2005,2005,2414,,
20402,Researchers (FTE) - Engineering and technology,DZA,Algeria,2017,2017,9569.84,,
20402,Researchers (FTE) - Engineering and technology,BOL,Bolivia (Plurinational State of),2000,2000,120,,
20402,Researchers (FTE) - Engineering and technology,BOL,Bolivia (Plurinational State of),2001,2001,231,,
20402,Researchers (FTE) - Engineering and technology,BOL,Bolivia (Plurinational State of),2002,2002,228.8,,
20402,Researchers (FTE) - Engineering and technology,BOL,Bolivia (Plurinational State of),2009,2009,277,,
20402,Researchers (FTE) - Engineering and technology,BOL,Bolivia (Plurinational State of),2010,2010,323.775,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2000,2000,2890,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2001,2001,2672,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2002,2002,2682,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2003,2003,2996,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2004,2004,3108,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2005,2005,3328,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2006,2006,3469,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2007,2007,3543,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2008,2008,3628,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2009,2009,3592,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2010,2010,2467,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2011,2011,2445,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2012,2012,3054,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2013,2013,3409,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2014,2014,4097,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2015,2015,4994,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2016,2016,5082,,
20402,Researchers (FTE) - Engineering and technology,BGR,Bulgaria,2017,2017,5979,,
20402,Researchers (FTE) - Engineering and technology,BFA,Burkina Faso,2010,2010,121.32,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2007,2007,1692.813,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2008,2008,1860.443,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2009,2009,1299,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2010,2010,1585,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2011,2011,1941.9,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2012,2012,2200.93,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2013,2013,1948.595,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2014,2014,2646.365,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2015,2015,2700.06,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2016,2016,3018.678,,
20402,Researchers (FTE) - Engineering and technology,CHL,Chile,2017,2017,2965.18,,
20402,Researchers (FTE) - Engineering and technology,COL,Colombia,2013,2013,444,,
20402,Researchers (FTE) - Engineering and technology,COL,Colombia,2014,2014,515,,
20402,Researchers (FTE) - Engineering and technology,COL,Colombia,2015,2015,623,,
20402,Researchers (FTE) - Engineering and technology,COL,Colombia,2016,2016,840,,
20402,Researchers (FTE) - Engineering and technology,COL,Colombia,2017,2017,840,,
20402,Researchers (FTE) - Engineering and technology,CRI,Costa Rica,2005,2005,57.8,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2002,2002,2628,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2003,2003,1272,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2004,2004,1709,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2005,2005,1403,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2006,2006,1581,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2007,2007,1615,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2008,2008,1796,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2009,2009,2121,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2010,2010,2141,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2011,2011,2020,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2012,2012,2046,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2013,2013,1840,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2014,2014,1743,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2015,2015,1919,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2016,2016,2473,,
20402,Researchers (FTE) - Engineering and technology,HRV,Croatia,2017,2017,2532,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2000,2000,37,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2001,2001,37,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2002,2002,50,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2003,2003,53,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2004,2004,69,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2005,2005,99,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2006,2006,132,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2007,2007,160,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2008,2008,169,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2009,2009,170,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2010,2010,200,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2011,2011,207,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2012,2012,227,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2013,2013,232,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2014,2014,238,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2015,2015,215,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2016,2016,250,,
20402,Researchers (FTE) - Engineering and technology,CYP,Cyprus,2017,2017,278,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2001,2001,130,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2002,2002,133,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2003,2003,159,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2009,2009,341.6,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2010,2010,447.99,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2011,2011,541,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2012,2012,748,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2013,2013,1028,,
20402,Researchers (FTE) - Engineering and technology,ECU,Ecuador,2014,2014,1296,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2000,2000,432,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2001,2001,395,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2002,2002,568,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2003,2003,532,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2004,2004,517,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2005,2005,502,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2006,2006,535,,
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2007,2007,543,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2008,2008,547,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2009,2009,445,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2010,2010,467,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2011,2011,444,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2012,2012,486,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2013,2013,476,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2014,2014,488,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2015,2015,518,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2016,2016,491,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,EST,Estonia,2017,2017,463,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,ETH,Ethiopia,2005,2005,76,,
20402,Researchers (FTE) - Engineering and technology,ETH,Ethiopia,2007,2007,61,,
20402,Researchers (FTE) - Engineering and technology,ETH,Ethiopia,2010,2010,208,,
20402,Researchers (FTE) - Engineering and technology,ETH,Ethiopia,2013,2013,303.547,,
20402,Researchers (FTE) - Engineering and technology,ETH,Ethiopia,2017,2017,1004.9653,,
20402,Researchers (FTE) - Engineering and technology,FRO,Faeroe Islands,2003,2003,,n,Magnitude nil or negligible
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2005,2005,23,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2006,2006,16,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2007,2007,50,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2008,2008,91,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2009,2009,29,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2010,2010,29,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2011,2011,34,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2012,2012,47,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2013,2013,44,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2014,2014,71,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2015,2015,67,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2016,2016,77,,
20402,Researchers (FTE) - Engineering and technology,GTM,Guatemala,2017,2017,23,,
20402,Researchers (FTE) - Engineering and technology,IND,India,2005,2005,55287,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2006,2006,14310,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2008,2008,14413,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2010,2010,16693,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2012,2012,15816,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2013,2013,14133,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2015,2015,15810,,
20402,Researchers (FTE) - Engineering and technology,IRN,Iran (Islamic Republic of),2017,2017,44146,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2011,2011,2679,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2014,2014,403,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2015,2015,584.91444,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2016,2016,550.51444,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2017,2017,800.28444,,
20402,Researchers (FTE) - Engineering and technology,IRQ,Iraq,2018,2018,898.02,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2007,2007,105,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2009,2009,82,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2011,2011,88,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2014,2014,606,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2015,2015,289,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2016,2016,414.1,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2017,2017,517.4,,
20402,Researchers (FTE) - Engineering and technology,KWT,Kuwait,2018,2018,568,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2000,2000,873,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2001,2001,603,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2002,2002,715,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2003,2003,501,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2004,2004,583,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2005,2005,475,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2006,2006,699,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2007,2007,854,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2008,2008,884,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2009,2009,851,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2010,2010,1114,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2011,2011,868,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2012,2012,770,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2013,2013,766,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2014,2014,767,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2015,2015,741,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2016,2016,1095,,
20402,Researchers (FTE) - Engineering and technology,LVA,Latvia,2017,2017,1126,,
20402,Researchers (FTE) - Engineering and technology,LSO,Lesotho,2009,2009,2.4,,
20402,Researchers (FTE) - Engineering and technology,LSO,Lesotho,2011,2011,2,,
20402,Researchers (FTE) - Engineering and technology,LSO,Lesotho,2015,2015,12.93,,
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2000,2000,1610,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2001,2001,1540,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2002,2002,1123,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2003,2003,1162,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2004,2004,1265,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2005,2005,1296,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2006,2006,1335,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2007,2007,1453,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2008,2008,1465,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2009,2009,1383,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2010,2010,1386,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2011,2011,1399,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2012,2012,1384,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2013,2013,1300,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2014,2014,1356,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2015,2015,1284,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2016,2016,1487,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,LTU,Lithuania,2017,2017,1286,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2005,2005,286,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2006,2006,252,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2007,2007,223,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2008,2008,210,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2009,2009,218,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2010,2010,243,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2011,2011,339.4,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2012,2012,202,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2014,2014,285.9,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2015,2015,288.5,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2016,2016,342.01,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2017,2017,265.6,,
20402,Researchers (FTE) - Engineering and technology,MKD,North Macedonia,2018,2018,342.83,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2005,2005,173,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2007,2007,142,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2009,2009,167,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2011,2011,152,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2016,2016,123,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2017,2017,196,,
20402,Researchers (FTE) - Engineering and technology,MDG,Madagascar,2018,2018,223,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2002,2002,3875,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2004,2004,5878.11,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2006,2006,4650.57,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2008,2008,6327.48,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2009,2009,12480.6,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2010,2010,13900.48,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2011,2011,14713.8,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2012,2012,22203.86832,,
20402,Researchers (FTE) - Engineering and technology,MYS,Malaysia,2015,2015,22893.1,,
20402,Researchers (FTE) - Engineering and technology,MLI,Mali,2006,2006,47,,
20402,Researchers (FTE) - Engineering and technology,MLI,Mali,2015,2015,20.7,,
20402,Researchers (FTE) - Engineering and technology,MLI,Mali,2017,2017,24.32,‡,UIS Estimation
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2002,2002,61,,
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2005,2005,160,,
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2006,2006,170,,
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2007,2007,181,,
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2008,2008,168,,
20402,Researchers (FTE) - Engineering and technology,MLT,Malta,2009,2009,154,,
